name,description, total time (hrs),fraction observing time,length of single observation (hrs),number of pointings,number of channels,number of taylor terms,number of pixels,time resolution (s),number antennas,number polarisations,NIP data rate (Gbits/s),channel res (kHz),number of channels vis,is EoR
HPSO1,Physics of the early universe IGM - I. Imaging,5000,0.11,6,5,3000,3,8050,10,512,4,NaN,10,30000,1
HPSO2a,Physics of the early universe IGM - II. Power spectrum (a),5000,0.11,6,50,3000,3,8050,10,512,4,NaN,10,30000,1
HPSO2b,Physics of the early universe IGM - II. Power spectrum (b),5000,0.11,6,500,3000,3,8050,10,512,4,NaN,10,30000,1
HPSO13,Resolved HI kinematics and morphology of ~10^10 M_sol mass galaxies out to z~0.8,5000,0.07,6,5,3700,3,6293,NaN,NaN,4,NaN,NaN,NaN,0
HPSO14,High spatial resolution studies of the ISM in the nearby Universe,2000,0.03,6,10,5500,3,3699,NaN,NaN,4,NaN,NaN,NaN,0
HPSO15,Multi-resolution mapping studies of the ISM in our Galaxy,12600,0.19,4.4,2842,3000,3,2219,NaN,NaN,4,NaN,NaN,NaN,0
HPSO22,Map dust grain growth in the terrestrial planet forming zones at a distance of 100 pc,6000,0.09,6,10,500,3,31820,NaN,NaN,4,NaN,NaN,NaN,0
HPSO27&33,The resolved all-Sky characterisation of the interstellar and intergalactic magnetic fields & Angular correlation functions to probe non-Gaussianity and the matter dipole,10000,0.14,0.1,8157,3525,3,5548,NaN,NaN,4,NaN,NaN,NaN,0
HPSO37a,Measure the Star formation history of the Universe (SFHU) - I. Non-thermal processes,2000,0.03,6,21,700,3,22192,NaN,NaN,4,NaN,NaN,NaN,0
HPSO37b,Measure the Star formation history of the Universe (SFHU) - I. Non-thermal processes,2000,0.03,6,1,700,3,22192,NaN,NaN,4,NaN,NaN,NaN,0
HPSO37c,Measure the Star formation history of the Universe (SFHU) - I. Non-thermal processes,10000,0.15,6,2632,500,3,11096,NaN,NaN,4,NaN,NaN,NaN,0
HPSO38a,Measure the Star formation history of the Universe (SFHU) - II. Thermal processes,1000,0.01,6,61,1000,3,32599,NaN,NaN,4,NaN,NaN,NaN,0
HPSO38b,Measure the Star formation history of the Universe (SFHU) - II. Thermal processes,1000,0.01,6,1,1000,3,32863,NaN,NaN,4,NaN,NaN,NaN,0
HPSO4,Reveal pulsar population and MSPs for gravity tests and Gravitational Wave detection,15950,0.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7,NaN,NaN,0
HPSO5,High precision timing for testing gravity and GW detection,7500,0.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.79,NaN,NaN,0
HPSO18,Solve missing baryon problem at z~2 and determine the Dark Energy Equation of State,10000,0.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1,NaN,NaN,0
